,company_name,company_rating,other_data
118,MCM Telecom Equipment,4.0,"Electronics Manufacturing , 201-500 Employees , 9 years old , Noida +4 more"
119,Globus Infocom,4.8,"EdTech , 201-500 Employees , Conglomerate , 23 years old , Noida +20 more"
120,Cavisson Systems,2.2,"IT Services & Consulting , 501-1k Employees , 13 years old , Noida +2 more"
121,Landis+Gyr,3.7,"Electrical Equipment , 1k-5k Employees , Public , 128 years old , Noida +10 more"
122,Innovaccer,3.2,"Software Product , 1k-5k Employees , Indian Unicorn , 10 years old , Noida +5 more"
123,Cyfuture,3.3,"IT Services & Consulting , 201-500 Employees , 23 years old , Noida +28 more"
124,Kalpataru Power Transmission,4.2,"Engineering & Construction , 1k-5k Employees , Public , 43 years old , Noida +208 more"
125,BYJU'S Exam Prep,3.8,"EdTech , 501-1k Employees , Startup , 9 years old , Noida +26 more"
126,ATS Infrastructure,3.9,"Real Estate , 1k-5k Employees , 26 years old , Noida +12 more"
127,PureSoftware,3.3,"IT Services & Consulting , 1k-5k Employees , 19 years old , Noida +9 more"
128,DISH TV,3.6,"Broadcasting , 201-500 Employees , Public , 21 years old , Noida +134 more"
129,Vivo,4.1,"Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Noida +373 more"
130,Spark Minda,3.9,"Auto Components , 1k-5k Employees , Public , 66 years old , Noida +60 more"
131,Square Yards,3.8,"Internet , 1k-5k Employees , 11 years old , Noida +42 more"
132,Padget Electronics,4.0,"Industrial Machinery , 501-1k Employees , Noida +7 more"
133,Bharti Airtel,4.1,"Telecom , 10k-50k Employees , Public , 29 years old , Noida +660 more"
134,Fujitsu,3.9,"IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 89 years old , Noida +29 more"
135,Ebix Software India,3.3,"IT Services & Consulting , 1k-5k Employees , Public , 48 years old , Noida +30 more"
136,MagicBricks,3.2,"Internet , 501-1k Employees , 18 years old , Noida +28 more"
137,Helloverify,3.3,"Law Enforcement & Security , 501-1k Employees , Startup , 12 years old , Noida +5 more"
138,GE Vernova,4.2,Noida +70 more
139,Cyient,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Noida +33 more"
140,Realty Assistant,4.2,"Internet , 201-500 Employees , 5 years old , Noida +11 more"
141,S&P Global,4.2,"Analytics & KPO , 10k-50k Employees , Public , 164 years old , Noida +24 more"
142,Aon,3.9,"Financial Services , 5k-10k Employees , Forbes Global 2000 , 84 years old , Noida +19 more"
143,TSYS|Total System Services,4.4,"Financial Services , 1k-5k Employees , Public , 40 years old , Noida +7 more"
144,WSP,4.2,"Engineering & Construction , 1k-5k Employees , 65 years old , Noida +28 more"
145,Appsierra,4.5,"IT Services & Consulting , 51-200 Employees , 9 years old , Noida +10 more"
146,Moglix,3.6,"Internet , 501-1k Employees , Indian Unicorn , 9 years old , Noida +34 more"
147,3i Infotech,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 31 years old , Noida +105 more"
148,Country Holidays Inn & Suites,4.4,"Travel & Tourism , 501-1k Employees , 8 years old , Noida +19 more"
149,Sonalika Tractors,3.8,"Automobile , 1k-5k Employees , 55 years old , Noida +148 more"
150,Sunwoda,4.2,"Electronics Manufacturing , 501-1k Employees , 27 years old , Noida +4 more"
151,Head Field Solutions,3.5,"Recruitment , 501-1k Employees , 17 years old , Noida +4 more"
152,Innovatiview,4.1,"Education & Training , 501-1k Employees , 14 years old , Noida +6 more"
153,AppInventiv Technologies,3.5,"Software Product , 1k-5k Employees , 9 years old , Noida +7 more"
154,Nagarro,4.1,"IT Services & Consulting , 10k-50k Employees , 28 years old , Noida +43 more"
155,Aforeserve,3.5,"IT Services & Consulting , 1k-5k Employees , 24 years old , Noida +145 more"
156,Qualitest,3.6,"IT Services & Consulting , 1k-5k Employees , 27 years old , Noida +12 more"
157,Kalkine,4.0,"Financial Services , 201-500 Employees , 10 years old , Noida +2 more"
158,TradeIndia (Infocom Network Private Limited),3.5,"Internet , 1k-5k Employees , 28 years old , Noida +38 more"
159,Teleperformance,3.8,"BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 46 years old , Noida +192 more"
160,Innova Solutions,3.7,"IT Services & Consulting , 1k-5k Employees , 26 years old , Noida +25 more"
161,InnovationM,4.2,"IT Services & Consulting , 201-500 Employees , 14 years old , Noida +5 more"
162,The Jaypee Group,3.9,"Engineering & Construction , 10k-50k Employees , Public , 45 years old , Noida +88 more"
163,eTeam,3.3,"Recruitment , 1k-5k Employees , 25 years old , Noida +16 more"
164,Oracle,3.8,"Software Product , 50k-1 Lakh Employees , Public , 47 years old , Noida +47 more"
165,Samsung Display,3.9,"Electronics Manufacturing , 501-1k Employees , 5 years old , Noida +4 more"
166,Publicis Sapient,3.6,"IT Services & Consulting , 10k-50k Employees , 34 years old , Noida +27 more"
167,R.S. Infraprojects,4.1,"Real Estate , 501-1k Employees , 19 years old , Noida +54 more"
168,Macawber Beekay,4.1,"Industrial Machinery , 1k-5k Employees , 38 years old , Noida +45 more"
169,KiwiTech,3.6,"IT Services & Consulting , 501-1k Employees , 15 years old , Noida +3 more"
170,Artech Infosystems,3.6,"1k-5k Employees , 32 years old , Noida +20 more"
171,LG Electronics,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old , Noida +246 more"
172,ANR Software Private Limited,4.3,"IT Services & Consulting , 201-500 Employees , 20 years old , Noida +4 more"
173,Niva Bupa Health Insurance Company,3.7,"Insurance , 5k-10k Employees , 16 years old , Noida +188 more"
174,Webkul Software,3.8,"IT Services & Consulting , 501-1k Employees , 14 years old , Noida +5 more"
175,Biz 2 Credit Info Services,3.6,"Financial Services , 201-500 Employees , 17 years old , Noida +3 more"
176,Progressive Infotech,3.5,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 26 years old , Noida +54 more"
177,Infosys,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 43 years old , Noida +182 more"
178,British Council,3.8,"Education & Training , 1k-5k Employees , 90 years old , Noida +20 more"
179,Diverse Lynx,3.9,"IT Services & Consulting , 51-200 Employees , 22 years old , Noida +12 more"
180,Integreon,3.5,"Legal , 1k-5k Employees , 24 years old , Noida +10 more"
