,company_name,company_rating,other_data
8649,Mocha Cafe and Bar,4.7,Ahmedabad +3 more
8650,Genpact,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , Ahmedabad +112 more"
8651,Adscribe India Inc,5.0,Ahmedabad
8652,H A Parikh & Company,5.0,Ahmedabad
8653,Gujrat News Brodcasters,4.0,Ahmedabad
8654,GB Shah Jyoti High School,3.0,"Education & Training , Ahmedabad"
8655,Yhm Pharmaceuticals,4.2,Ahmedabad +1 more
8656,CHEMET,3.0,Ahmedabad +4 more
8657,Arth Infosoft,5.0,"IT Services & Consulting , 11-50 Employees , 19 years old , Ahmedabad +1 more"
8658,Troikaa Parenterals,4.0,Ahmedabad
8659,Evergreen Solar Systems,5.0,"51-200 Employees , Ahmedabad"
8660,G M Fluid,5.0,Ahmedabad
8661,CHEMET,3.0,Ahmedabad +4 more
8662,Dial Pharmaceuticals,4.0,Ahmedabad
8663,Arth Infosoft,5.0,"IT Services & Consulting , 11-50 Employees , 19 years old , Ahmedabad +1 more"
8664,Troikaa Parenterals,4.0,Ahmedabad
8665,Evergreen Solar Systems,5.0,"51-200 Employees , Ahmedabad"
8666,Access Education,4.8,"Education & Training , 11-50 Employees , Ahmedabad +2 more"
8667,Mihir Enterprises,4.3,Ahmedabad +3 more
8668,Adscribe India Inc,5.0,Ahmedabad
8669,GB Shah Jyoti High School,3.0,"Education & Training , Ahmedabad"
8670,Yhm Pharmaceuticals,4.2,Ahmedabad +1 more
8671,H A Parikh & Company,5.0,Ahmedabad
8672,Gujrat News Brodcasters,4.0,Ahmedabad
8673,Accion,3.3,Ahmedabad +2 more
8674,All India Transport Carriers,3.1,"Urban Transport , Ahmedabad +1 more"
8675,UNIQ Solutions,4.4,Ahmedabad +3 more
8676,NS Infotech,4.1,"51-200 Employees , Ahmedabad +2 more"
8677,Franco Leone Shoes,3.6,"51-200 Employees , Ahmedabad +2 more"
8678,Trinity Energy Systems,4.3,"Power , 51-200 Employees , Ahmedabad +5 more"
8679,Jenburkt Pharma,4.3,"Pharma , 501-1k Employees (Global) , 39 years old , Ahmedabad +7 more"
8680,QCC Management Solution,1.0,Ahmedabad
8681,Vipul,4.5,"Real Estate , 501-1k Employees , Public , Ahmedabad +5 more"
8682,Simran Group,4.1,Ahmedabad +3 more
8683,Decent Solutions,5.0,"IT Services & Consulting , 11-50 Employees (Global) , 15 years old , Ahmedabad +1 more"
8684,Datta & Datta Associates,1.1,"Architecture & Interior Design , 11-50 Employees (Global) , Ahmedabad +2 more"
8685,CommonFloor,3.7,"Internet , 501-1k Employees (Global) , 17 years old , Ahmedabad +10 more"
8686,Aakruti Solutions,5.0,"Financial Services , Ahmedabad +1 more"
8687,Ess Ess Bathroom Product,2.7,"51-200 Employees , Ahmedabad +6 more"
8688,Quikr Realty,4.1,"Real Estate , 201-500 Employees , 37 years old , Ahmedabad +11 more"
8689,Flomic Freight Services,2.9,"Logistics , 1k-5k Employees , 32 years old , Ahmedabad +6 more"
8690,MJ Consulting Services,5.0,"Financial Services , Ahmedabad"
8691,Rangwala,4.0,"11-50 Employees (Global) , Ahmedabad"
8692,VMS Consultants,4.0,Ahmedabad +2 more
8693,Meru cabs,4.0,"Internet , 1k-5k Employees , 17 years old , Ahmedabad +8 more"
8694,MyDentist,1.6,"Internet , 17 years old , Ahmedabad +4 more"
8695,Amsure Insurance Agency,5.0,"201-500 Employees (Global) , Ahmedabad +9 more"
8696,India Infotech,4.5,"IT Services & Consulting , 51-200 Employees , Ahmedabad +2 more"
8697,Computer Consulting Operations Specialists,4.4,"IT Services & Consulting , 51-200 Employees , 39 years old , Ahmedabad +32 more"
8698,Suprol India,4.0,"1k-5k Employees (Global) , Ahmedabad +1 more"
8699,L.J. Group of Institutes,5.0,Ahmedabad
8700,NIN,5.0,"501-1k Employees (Global) , Ahmedabad +1 more"
8701,Movik Networks,4.0,"Telecom , 51-200 Employees (Global) , Ahmedabad"
8702,GE Capital,4.4,"Financial Services , 10k-50k Employees , 92 years old , Ahmedabad +10 more"
8703,IIPM,3.8,"Education & Training , 201-500 Employees , 51 years old , Ahmedabad +7 more"
8704,Planman Consulting,1.8,"5k-10k Employees (Global) , Ahmedabad +1 more"
8705,Konnection India Dotcom,3.8,"IT Services & Consulting , 51-200 Employees , 15 years old , Ahmedabad +6 more"
8706,Datamonitor,5.0,"5k-10k Employees (Global) , 35 years old , Ahmedabad +1 more"
8707,SunEdison,3.0,"Facility Management Services , 201-500 Employees , 65 years old , Ahmedabad +10 more"
8708,DONE by NONE,4.1,"Internet , 11-50 Employees (Global) , 13 years old , Ahmedabad +17 more"
8709,Alchemist,2.4,Ahmedabad +10 more
8710,Experience Commerce,3.2,"Marketing & Advertising , 51-200 Employees , 18 years old , Ahmedabad +4 more"
8711,Religare Enterprises,3.2,"51-200 Employees , Public , Ahmedabad +10 more"
8712,NJ India,3.8,"501-1k Employees , Ahmedabad +17 more"
8713,Covidien,5.0,"10k-50k Employees (Global) , 75 years old , Ahmedabad +3 more"
8714,Madura Garments,3.8,"Retail , 51-200 Employees , 36 years old , Ahmedabad +23 more"
8715,Panoramic Universal,1.8,"IT Services & Consulting , 201-500 Employees , Public , 27 years old , Ahmedabad +5 more"
8716,CallidusCloud,3.3,"51-200 Employees , 28 years old , Ahmedabad +2 more"
8717,Ultra Rich Weddings,1.0,"11-50 Employees (Global) , Ahmedabad"
8718,Acliv Technologies,3.9,"IT Services & Consulting , 51-200 Employees , 14 years old , Ahmedabad +9 more"
8719,Ansh Systems,3.9,"IT Services & Consulting , 51-200 Employees (Global) , 17 years old , Ahmedabad +3 more"
8720,N-Tech Technologies,1.0,"IT Services & Consulting , 11-50 Employees (Global) , Ahmedabad"
8721,Ozone Media,2.7,"Internet , 51-200 Employees (Global) , 18 years old , Ahmedabad +5 more"
8722,Cogencis Information Services,3.6,"IT Services & Consulting , 501-1k Employees , 17 years old , Ahmedabad +6 more"
8723,Hages Business Solutions,1.3,"51-200 Employees , Ahmedabad +1 more"
8724,Stereo D,4.7,"201-500 Employees (Global) , 15 years old , Ahmedabad +1 more"
8725,Saudi Arabian Airlines,4.1,"Aviation , 201-500 Employees , 79 years old , Ahmedabad +16 more"
8726,MOL,3.4,"Oil & Gas , 201-500 Employees , 33 years old , Ahmedabad +6 more"
8727,HR Software Solutions,3.0,"11-50 Employees , 17 years old , Ahmedabad +2 more"
8728,MaRRS Intellectual Services,3.1,"Education & Training , Ahmedabad +3 more"
8729,JSTECHNO,1.0,"Financial Services , 14 years old , Ahmedabad"
8730,Invixium,1.0,"Internet , 11-50 Employees , Startup , 12 years old , Ahmedabad"
8731,Hughes Net Global Education,3.9,"Education & Training , 201-500 Employees , Ahmedabad +3 more"
8732,Pearl Mosaico Company,5.0,"Engineering & Construction , Ahmedabad"
8733,Iris Computers,3.8,"Financial Services , 28 years old , Ahmedabad +6 more"
8734,UAS International,4.2,"Financial Services , 1-10 Employees , Ahmedabad +11 more"
8735,Make A Difference,4.1,"Non-Profit , 201-500 Employees , Ahmedabad +11 more"
8736,Maxim Integrated,4.3,"Semiconductors , 201-500 Employees , Public , 41 years old , Ahmedabad +4 more"
8737,Insigno Quipment,5.0,"Analytics & KPO , 51-200 Employees (Global) , 22 years old , Ahmedabad"
8738,OFOS Services,1.0,"Financial Services , Ahmedabad +4 more"
8739,Carnival Group,4.0,"Media & Entertainment , 51-200 Employees , Conglomerate , 17 years old , Ahmedabad +32 more"
8740,Covidien,5.0,"10k-50k Employees (Global) , 75 years old , Ahmedabad +3 more"
8741,Madura Garments,3.8,"Retail , 51-200 Employees , 36 years old , Ahmedabad +23 more"
8742,Regenerative Medical Services,2.0,"Internet , 11-50 Employees , 15 years old , Ahmedabad +8 more"
8743,Ozone Media,2.7,"Internet , 51-200 Employees (Global) , 18 years old , Ahmedabad +5 more"
8744,Cogencis Information Services,3.6,"IT Services & Consulting , 501-1k Employees , 17 years old , Ahmedabad +6 more"
8745,Hages Business Solutions,1.3,"51-200 Employees , Ahmedabad +1 more"
8746,Edelweiss Stock Broking,5.0,Ahmedabad +1 more
8747,MOL,3.4,"Oil & Gas , 201-500 Employees , 33 years old , Ahmedabad +6 more"
8748,Monarch Innovative Technologies,4.2,"BPO , 201-500 Employees (Global) , 15 years old , Ahmedabad +2 more"
8749,ECI Telecom,4.3,"Hardware & Networking , 51-200 Employees , 63 years old , Ahmedabad +14 more"
8750,Infodart Technologies,2.7,"IT Services & Consulting , 201-500 Employees , 17 years old , Ahmedabad +12 more"
8751,e-Centric Solutions,3.3,"IT Services & Consulting , 201-500 Employees , 22 years old , Ahmedabad +29 more"
