,company_name,company_rating,other_data
6815,Marudhara Polypack,4.6,"51-200 Employees , Jaipur +1 more"
6816,Binani Industries,4.6,"Building Material , 1k-5k Employees , Public , 152 years old , Jaipur +6 more"
6817,The Oriental Insurance Co.,4.5,"Insurance , 10k-50k Employees , Central , 77 years old , Jaipur +54 more"
6818,L.D.M.S,3.6,Jaipur
6819,Fairwealth Securities,3.8,"201-500 Employees , Jaipur +3 more"
6820,Gga India,3.6,"Management Consulting , 51-200 Employees , 22 years old , Jaipur +6 more"
6821,Pushp Rings,5.0,Jaipur
6822,Dronacharya International School,5.0,"Education & Training , Jaipur +1 more"
6823,Piramal Water,4.4,"Non-Profit , 51-200 Employees , Jaipur +5 more"
6824,Ammus Engineers,5.0,"11-50 Employees , Jaipur +1 more"
6825,GIBS Business School,3.5,"Education & Training , 11-50 Employees , 23 years old , Jaipur +9 more"
6826,Shrerit Auto,3.0,"28 years old , Jaipur"
6827,Digital Dreams Technology,4.9,Jaipur +3 more
6828,Vedika Technology,4.8,Jaipur +2 more
6829,Compact Lighting With Anjali Group,5.0,Jaipur
6830,Vsg Vel Construction,5.0,"Engineering & Construction , Jaipur"
6831,Santokba Durlabji School Of Nursing,4.0,"Education & Training , Jaipur"
6832,FOCUSED SECURITY AND INTELLIGENCE SERVICES,4.4,Jaipur +2 more
6833,My Provision Solutions,5.0,Jaipur
6834,Defence Electronics,4.6,Jaipur +1 more
6835,Asaad said Contract Company,4.4,"5k-10k Employees , 47 years old , Jaipur +6 more"
6836,Shri Balaji impex,3.4,Jaipur +2 more
6837,CAYA CONSTRUCTS,4.0,Jaipur +2 more
6838,Searoc Cancer Centre  Sms Hospital Jaipur,4.0,Jaipur
6839,108 Ambulance,4.3,"1k-5k Employees , Jaipur +13 more"
6840,VVSFIX SERVICES,5.0,Jaipur
6841,Shivam Compu Forms,5.0,Jaipur
6842,All Clean Group,3.0,Jaipur
6843,DATAWISE MANAGEMENT SERVICES,3.7,"Analytics & KPO , 51-200 Employees , Jaipur +1 more"
